Time [s],MideaIR
178.030678750,0
178.031160750,1
178.031753500,0
178.032235750,1
178.033903000,0
178.034385500,1
178.034977750,0
178.035460500,1
178.036052250,0
178.036535500,1
178.037127250,0
178.037610250,1
178.038201750,0
178.038735000,1
178.039276500,0
178.039810000,1
178.040351500,0
178.040885250,1
178.041426500,0
178.041960250,1
178.043576500,0
178.044110000,1
178.044651000,0
178.045185000,1
178.045726000,0
178.046260250,1
178.047876000,0
178.048409750,1
178.050026000,0
178.050559750,1
178.051100750,0
178.051635000,1
178.052176000,0
178.052710000,1
178.054326000,0
178.054860000,1
178.055400750,0
178.055934750,1
178.057550750,0
178.058084750,1
178.059700750,0
178.060234500,1
178.060775500,0
178.061309750,1
178.061850500,0
178.062384500,1
178.064000500,0
178.064535000,1
178.066150750,0
178.066684500,1
178.071892500,0
178.076285000,1
178.080676000,0
178.081209500,1
178.082825250,0
178.083359500,1
178.084975250,0
178.085509250,1
178.086049750,0
178.086584500,1
178.088200000,0
178.088734500,1
178.089274750,0
178.089809500,1
178.091424750,0
178.091959250,1
178.092499750,0
178.093034250,1
178.094650000,0
178.095184250,1
178.095724750,0
178.096259000,1
178.097874750,0
178.098409000,1
178.100024750,0
178.100559250,1
178.101099750,0
178.101634250,1
178.102174500,0
178.102709000,1
178.104324500,0
178.104858750,1
178.106474500,0
178.107009000,1
178.107549250,0
178.108083750,1
178.108624250,0
178.109158500,1
178.109699000,0
178.110233500,1
178.110774250,0
178.111308750,1
178.111849500,0
178.112383750,1
178.112924250,0
178.113458750,1
178.113999250,0
178.114533500,1
178.115073750,0
178.115608500,1
178.116148750,0
178.116683500,1
178.117224000,0
178.117758500,1
178.118298750,0
178.118833500,1
178.119373750,0
178.119908500,1
178.120448750,0
178.120983250,1
178.121523750,0
178.122058500,1
178.122598750,0
178.123133250,1
178.123673750,0
178.124208500,1
178.124748750,0
178.125283500,1
178.125823750,0
178.126358500,1
178.126898500,0
178.127433250,1
178.127973500,0
178.128508250,1
178.129048750,0
178.129583250,1
178.130123750,0
178.130658250,1
178.131198500,0
178.131733000,1
178.132273750,0
178.132808250,1
178.133348500,0
178.133883000,1
178.134423500,0
178.134958000,1
178.135498500,0
178.136033000,1
178.137648750,0
178.138183000,1
178.139798500,0
178.140333000,1
178.141948750,0
178.142482750,1
178.143023250,0
178.143557750,1
178.145173250,0
178.145707750,1
178.147323500,0
178.147857750,1
582.374401250,0
582.378874000,1
582.383211750,0
582.383799750,1
582.385360000,0
582.385950250,1
582.386436000,0
582.387025000,1
582.388585500,0
582.389174250,1
582.390735500,0
582.391325000,1
582.391810500,0
582.392399750,1
582.392885250,0
582.393474750,1
582.395035250,0
582.395624500,1
582.396109750,0
582.396699500,1
582.397187250,0
582.397774500,1
582.399335500,0
582.399925000,1
582.400410500,0
582.400999250,1
582.401484750,0
582.402074000,1
582.403606750,0
582.404224750,1
582.405784750,0
582.406374250,1
582.406859750,0
582.407449500,1
582.409010250,0
582.409599500,1
582.411160500,0
582.411749250,1
582.412234750,0
582.412824000,1
582.414385500,0
582.414974250,1
582.416535000,0
582.417123250,1
582.418685250,0
582.419273500,1
582.420835000,0
582.421423750,1
582.422984750,0
582.423574250,1
582.425134750,0
582.425724000,1
582.426209500,0
582.426798250,1
582.428359500,0
582.428947750,1
582.429433500,0
582.430022750,1
582.430509750,0
582.431097000,1
582.431585250,0
582.432172250,1
582.432659500,0
582.433246750,1
582.433735000,0
582.434270750,1
582.434810000,0
582.435396000,1
582.436959500,0
582.437545250,1
582.439109750,0
582.439695500,1
582.440184000,0
582.440770750,1
582.442334250,0
582.442870500,1
582.444485000,0
582.445070750,1
582.446634750,0
582.447170500,1
582.447709000,0
582.448245000,1
582.448784250,0
582.449319750,1
582.449859000,0
582.450395250,1
582.450934250,0
582.451470000,1
582.453084250,0
582.453620000,1
582.454159250,0
582.454694750,1
582.455233750,0
582.455769750,1
582.456309250,0
582.456844750,1
582.458459000,0
582.458994500,1
582.460609000,0
582.461144250,1
582.466351000,0
582.470741250,1
582.475134500,0
582.475666000,1
582.477283750,0
582.477815500,1
582.478358500,0
582.478889750,1
582.480508750,0
582.481014500,1
582.482658750,0
582.483164250,1
582.483733500,0
582.484238500,1
582.484808250,0
582.485290750,1
582.486958500,0
582.487440750,1
582.488033500,0
582.488515750,1
582.489108250,0
582.489590750,1
582.491258250,0
582.491740500,1
582.492333250,0
582.492815750,1
582.493408250,0
582.493890250,1
582.495558000,0
582.496040000,1
582.497707750,0
582.498189750,1
582.498782750,0
582.499264750,1
582.500932750,0
582.501414500,1
582.503082250,0
582.503564500,1
582.504157000,0
582.504639750,1
582.506306750,0
582.506789500,1
582.508456000,0
582.508939500,1
582.510606000,0
582.511089500,1
582.512755500,0
582.513239250,1
582.514905250,0
582.515389250,1
582.517055000,0
582.517539250,1
582.518129750,0
582.518614250,1
582.520279500,0
582.520763750,1
582.521354250,0
582.521839000,1
582.522429000,0
582.522913750,1
582.523503500,0
582.524012000,1
582.524578500,0
582.525087000,1
582.525653250,0
582.526161750,1
582.526728000,0
582.527236750,1
582.528878250,0
582.529387000,1
582.531028000,0
582.531536500,1
582.532102500,0
582.532611750,1
582.534252750,0
582.534761500,1
582.536402500,0
582.536911500,1
582.538552250,0
582.539061000,1
582.539627250,0
582.540136500,1
582.540702250,0
582.541211500,1
582.541777500,0
582.542286250,1
582.542852500,0
582.543361250,1
582.545002250,0
582.545511000,1
582.546077250,0
582.546586000,1
582.547152250,0
582.547660750,1
582.548227250,0
582.548735750,1
582.550377250,0
582.550885500,1
582.552527500,0
582.553035500,1
582.558269250,0
582.562633750,1
582.567054250,0
582.567560000,1
582.569204000,0
582.569709750,1
582.571353750,0
582.571859750,1
582.572429000,0
582.572934500,1
582.574578750,0
582.575084250,1
582.575653500,0
582.576159750,1
582.577803750,0
582.578309500,1
582.578878750,0
582.579384500,1
582.581028750,0
582.581534500,1
582.582104000,0
582.582609250,1
582.584254000,0
582.584759250,1
582.586403500,0
582.586909250,1
582.587478250,0
582.587984250,1
582.588553500,0
582.589059250,1
582.590703500,0
582.591209000,1
582.592853500,0
582.593358750,1
582.593928500,0
582.594433750,1
582.595003250,0
582.595508750,1
582.596078000,0
582.596583750,1
582.597153250,0
582.597658500,1
582.598228000,0
582.598733500,1
582.599303250,0
582.599808500,1
582.600378250,0
582.600883500,1
582.601453000,0
582.601958500,1
582.602528000,0
582.603033500,1
582.603603000,0
582.604108250,1
582.604678000,0
582.605183250,1
582.605753500,0
582.606258250,1
582.606828250,0
582.607333250,1
582.607903000,0
582.608408000,1
582.608977750,0
582.609483000,1
582.610053000,0
582.610558000,1
582.612203000,0
582.612708000,1
582.613278000,0
582.613783000,1
582.614352750,0
582.614857750,1
582.615428000,0
582.615932500,1
582.616502750,0
582.617007500,1
582.617577750,0
582.618082750,1
582.618653000,0
582.619158000,1
582.619728000,0
582.620232500,1
582.620802500,0
