Time [s],Channel 6,Channel 7
14.698378750,0,1
14.698380500,1,1
14.698399500,1,0
14.698401000,0,0
14.698420500,0,1
14.698422000,1,1
14.698441250,1,0
14.698442500,0,0
14.698462000,0,1
14.698463750,1,1
14.698482750,1,0
14.698484250,0,0
14.698503750,0,1
14.698505250,1,1
14.698524500,1,0
14.698525750,0,0
14.698545250,0,1
14.698547000,1,1
14.698566000,1,0
14.698567500,0,0
14.698587000,0,1
14.698588500,1,1
14.698607750,1,0
14.698609000,0,0
14.698628500,0,1
14.698630250,1,1
14.698649250,1,0
14.698650750,0,0
14.698670250,0,1
14.698672000,1,1
14.698691000,1,0
14.698692500,0,0
14.698711750,0,1
14.698713500,1,1
14.698732500,1,0
14.698734000,0,0
14.698753500,0,1
14.698755250,1,1
14.698774250,1,0
14.698775750,0,0
14.698795000,0,1
14.698796750,1,1
14.698815750,1,0
14.698817250,0,0
14.698836750,0,1
14.698838500,1,1
14.698857500,1,0
14.698859000,0,0
14.698878250,0,1
14.698880000,1,1
14.698899250,1,0
14.698900500,0,0
14.698920000,0,1
14.698921750,1,1
14.698940750,1,0
14.698942250,0,0
14.698961500,0,1
14.698963250,1,1
14.698982500,1,0
14.698983750,0,0
14.699003250,0,1
14.699005000,1,1
14.699024000,1,0
14.699025500,0,0
14.699044750,0,1
14.699046500,1,1
14.699065750,1,0
14.699067000,0,0
14.699086500,0,1
14.699088250,1,1
14.699107250,1,0
14.699108750,0,0
14.699128250,0,1
14.699129750,1,1
14.699149000,1,0
14.699150250,0,0
14.699169750,0,1
14.699171500,1,1
14.699190500,1,0
14.699192000,0,0
14.699211500,0,1
14.699213000,1,1
14.699273750,1,0
14.699275250,0,0
14.699294750,0,1
14.699296250,1,1
14.699315500,1,0
14.699316750,0,0
14.699336250,0,1
14.699338000,1,1
14.699357000,1,0
14.699358500,0,0
14.699378000,0,1
14.699379750,1,1
14.699398750,1,0
14.699400000,0,0
14.699419500,0,1
14.699421250,1,1
14.699440500,1,0
14.699441750,0,0
14.699461250,0,1
14.699463000,1,1
14.699482000,1,0
14.699483500,0,0
14.699502750,0,1
14.699504500,1,1
14.699565250,1,0
14.699566750,0,0
14.699586000,0,1
14.699587750,1,1
14.699648500,1,0
14.699650000,0,0
14.699669250,0,1
14.699671000,1,1
14.699690250,1,0
14.699691500,0,0
14.699711000,0,1
14.699712750,1,1
14.699773500,1,0
14.699775000,0,0
14.699794250,0,1
14.699796000,1,1
14.699856750,1,0
14.699858250,0,0
14.699877500,0,1
14.699879250,1,1
14.966589250,0,1
14.966610000,1,1
14.966630500,0,1
14.966651500,1,1
14.966714250,0,1
14.966734750,1,1
14.966797500,0,1
14.966818250,1,1
14.966839000,0,1
14.966860000,1,1
14.966922500,0,1
14.966943250,1,1
14.967005750,0,1
14.967026500,1,1
14.967047250,0,1
14.967068250,1,1
14.967089250,0,1
14.967110000,1,1
14.967214250,0,1
14.967235000,1,1
14.967255750,0,1
14.967276750,1,1
14.967297500,0,1
14.967318250,1,1
14.967381000,0,1
14.967401750,1,1
14.967422500,0,1
14.967443250,1,1
14.967464250,0,1
14.967485000,1,1
14.967505750,0,1
14.967526750,1,1
14.967547500,0,1
14.967568500,1,1
14.967589250,0,1
14.967610000,1,1
14.967631000,0,1
14.967651750,1,1
14.967672500,0,1
14.967693500,1,1
14.967714250,0,1
14.967735250,1,1
14.967755750,0,1
14.967776750,1,1
14.967797500,0,1
14.967818500,1,1
14.967839250,0,1
14.967860250,1,1
14.967881000,0,1
14.967902000,1,1
14.967922500,0,1
14.967943500,1,1
14.967964250,0,1
14.967985250,1,1
14.968006000,0,1
14.968026750,1,1
14.968047750,0,1
14.968068500,1,1
14.968089250,0,1
14.968110250,1,1
14.968131000,0,1
14.968152000,1,1
14.968172750,0,1
14.968193500,1,1
14.968214250,0,1
14.968235250,1,1
14.968256000,0,1
14.968277000,1,1
14.968297750,0,1
14.968318750,1,1
14.968339250,0,1
14.968360250,1,1
14.968381000,0,1
14.968402000,1,1
14.968422750,0,1
14.968443750,1,1
14.968464500,0,1
14.968485250,1,1
14.968506000,0,1
14.968527000,1,1
14.968547750,0,1
14.968568750,1,1
14.968589500,0,1
14.968610250,1,1
14.968631000,0,1
14.968652000,1,1
14.968672750,0,1
14.968693750,1,1
14.968714500,0,1
14.968735500,1,1
14.968756000,0,1
14.968777000,1,1
14.968797750,0,1
14.968818750,1,1
14.968839500,0,1
14.968860500,1,1
14.968881250,0,1
14.968902250,1,1
14.968922750,0,1
14.968943750,1,1
14.968964500,0,1
14.968985500,1,1
14.969006250,0,1
14.969027000,1,1
14.969047750,0,1
14.969068750,1,1
14.969089500,0,1
14.969110500,1,1
14.969131250,0,1
14.969152250,1,1
14.969214750,0,1
14.969235500,1,1
14.969298000,0,1
14.969318750,1,1
14.969381500,0,1
14.969402250,1,1
14.969464750,0,1
14.969485500,1,1
14.969506250,0,1
14.969527250,1,1
14.969589750,0,1
14.969610500,1,1
14.969673000,0,1
14.969694000,1,1
14.969714750,0,1
14.969735750,1,1
14.969756250,0,1
14.969777250,1,1
14.969839750,0,1
14.969860750,1,1
14.969923250,0,1
14.969944000,1,1
14.969964750,0,1
14.969985750,1,1
14.970006500,0,1
14.970027250,1,1
14.970048000,0,1
14.970069000,1,1
14.970089750,0,1
14.970110750,1,1
14.970131500,0,1
14.970152500,1,1
14.970173000,0,1
14.970194000,1,1
14.970214750,0,1
14.970235750,1,1
14.970256500,0,1
14.970277500,1,1
14.970298250,0,1
14.970319250,1,1
14.970339750,0,1
14.970360750,1,1
14.970381500,0,1
14.970402500,1,1
14.970423250,0,1
14.970444250,1,1
14.970464750,0,1
14.970485750,1,1
14.970506500,0,1
14.970527500,1,1
14.970548250,0,1
14.970569250,1,1
14.970589750,0,1
14.970610750,1,1
14.970631500,0,1
14.970652500,1,1
14.970673250,0,1
14.970694250,1,1
14.970715000,0,1
14.970736000,1,1
14.970756500,0,1
14.970777500,1,1
14.970798250,0,1
14.970819250,1,1
14.970840000,0,1
14.970861000,1,1
14.970881500,0,1
14.970902500,1,1
14.970923250,0,1
14.970944250,1,1
14.970965000,0,1
14.970986000,1,1
14.971006500,0,1
14.971027500,1,1
14.971048250,0,1
14.971069250,1,1
14.971090000,0,1
14.971111000,1,1
14.971131750,0,1
14.971152750,1,1
14.971173250,0,1
14.971194250,1,1
14.971215000,0,1
14.971236000,1,1
14.971256750,0,1
14.971277750,1,1
14.971298250,0,1
14.971319250,1,1
14.971340000,0,1
14.971361000,1,1
14.971381750,0,1
14.971402750,1,1
14.971423500,0,1
14.971444500,1,1
14.971465000,0,1
14.971486000,1,1
14.971506750,0,1
14.971527750,1,1
14.971548500,0,1
14.971569500,1,1
14.971590000,0,1
14.971611000,1,1
14.971631750,0,1
14.971652750,1,1
14.971673500,0,1
14.971694500,1,1
14.971715000,0,1
14.971736000,1,1
14.971756750,0,1
14.971777750,1,1
14.971798500,0,1
14.971819500,1,1
14.971840250,0,1
14.971861250,1,1
14.971881750,0,1
14.971902750,1,1
14.971923500,0,1
14.971944500,1,1
14.971965250,0,1
14.971986250,1,1
14.972006750,0,1
14.972027750,1,1
14.972132000,0,1
14.972152750,1,1
14.972173500,0,1
14.972194500,1,1
14.972215250,0,1
14.972236250,1,1
14.972340500,0,1
14.972361250,1,1
14.972423750,0,1
14.972444500,1,1
14.972465250,0,1
14.972486250,1,1
14.972507000,0,1
14.972528000,1,1
14.972548500,0,1
14.972569750,1,1
14.972590250,0,1
14.972611250,1,1
14.972632000,0,1
14.972653000,1,1
14.972673750,0,1
14.972694750,1,1
14.972757250,0,1
14.972778000,1,1
14.972798750,0,1
14.972819750,1,1
14.972840500,0,1
14.972861250,1,1
14.972923750,0,1
14.972944750,1,1
14.973007250,0,1
14.973028000,1,1
14.973048750,0,1
14.973069750,1,1
14.973132250,0,1
14.973153000,1,1
14.973215500,0,1
14.973236500,1,1
14.986496000,1,0
14.986497750,0,0
14.986517000,0,1
14.986518500,1,1
14.986537750,1,0
14.986539000,0,0
14.986558500,0,1
14.986560250,1,1
14.986621000,1,0
14.986622500,0,0
14.986641750,0,1
14.986643500,1,1
14.986704250,1,0
14.986705750,0,0
14.986725000,0,1
14.986726750,1,1
14.986746000,1,0
14.986747250,0,0
14.986766750,0,1
14.986768500,1,1
14.986829250,1,0
14.986830750,0,0
14.986850000,0,1
14.986851500,1,1
14.986912500,1,0
14.986914000,0,0
14.986933250,0,1
14.986934750,1,1
14.986954000,1,0
14.986955500,0,0
14.986974750,0,1
14.986976500,1,1
14.986995750,1,0
14.986997000,0,0
14.987016500,0,1
14.987018250,1,1
14.987120500,1,0
14.987122000,0,0
14.987141250,0,1
