channel,start_time,packet_len,packet_content,start_byte,valid_start
slave,8.31531175,31,AA C0 00 00 00 00 10 30 84 80 57 56 83 00 2E 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 80,0xAA,True
master,8.35507225,15,AA C3 00 00 00 00 84 80 58 00 00 00 00 3C A5,0xAA,True
bidirectionalExtensionBoard,8.3671685,38,AA BC 22 AC 00 00 00 00 00 03 02 40 01 88 66 00 00 00 30 80 00 00 00 00 00 00 00 00 00 00 00 00 00 82 70 10 00 E6,0xAA,True
slave,8.3750965,31,AA C3 00 00 00 00 10 30 84 80 58 56 83 00 2E 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 7C,0xAA,True
master,8.41504425,15,AA C6 00 00 00 00 00 00 00 00 46 17 00 39 A4,0xAA,True
slave,8.43505875,31,AA C6 00 00 00 00 05 00 02 30 0E 00 00 00 00 00 84 80 58 BC D6 32 98 00 00 00 00 00 00 00 3D,0xAA,True
bidirectionalExtensionBoard,8.5652885,44,55 BC 28 AC 00 00 00 00 00 03 02 C0 01 88 66 7F 7F 00 00 80 00 00 60 3C 0C 00 40 00 00 00 00 00 00 00 01 00 00 00 00 00 00 11 00 EF,0x55,True
master,8.71519575,15,AA C4 00 00 00 00 A5 5A 00 00 00 00 00 3B 02,0xAA,True
slave,8.73532175,31,AA C4 00 00 00 00 05 00 02 30 0E 00 00 00 00 00 84 80 58 BC D6 32 98 00 00 00 00 00 00 00 3F,0xAA,True
bidirectionalExtensionBoard,8.81680275,38,AA BC 22 AC 00 00 00 00 00 03 02 93 80 80 84 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 83 8C D7 00 CA,0xAA,True
bidirectionalExtensionBoard,9.0148915,44,55 BC 28 AC 00 00 00 00 00 03 02 93 00 00 84 00 00 00 00 00 10 30 05 00 02 30 0E 00 BC D6 98 00 00 00 00 80 80 80 80 00 00 61 00 EF,0x55,True
master,9.01511825,15,AA C0 00 00 00 00 00 00 00 00 00 00 00 3F 01,0xAA,True
slave,9.0350925,31,AA C0 00 00 00 00 10 30 84 80 58 56 83 00 2E 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 7F,0xAA,True
bidirectionalExtensionBoard,9.2664445,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 00 FF 01 60 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 84 7F CA 00 D7,0xAA,True
master,9.31538475,31,AA D0 20 01 00 84 80 58 00 00 00 00 00 00 00 06 17 00 61 29 00 00 00 00 00 00 00 00 00 80 8C,0xAA,True
master,9.61536975,15,AA C0 05 00 00 00 00 00 00 00 00 00 00 3F FC,0xAA,True
master,9.9153965,31,AA D0 20 01 00 84 80 58 00 00 00 00 00 00 00 06 17 00 61 29 00 00 00 00 00 00 00 00 00 80 8C,0xAA,True
master,10.21552725,15,AA C0 00 00 00 00 00 00 00 00 00 00 00 3F 01,0xAA,True
slave,10.23555175,31,AA C0 00 00 00 00 10 30 84 80 58 56 83 00 2E 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 7F,0xAA,True
bidirectionalExtensionBoard,10.42547475,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 00 FF 01 60 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 84 7F CA 00 D7,0xAA,True
master,10.51547075,15,AA C4 00 00 00 00 A5 5A 00 00 00 00 00 3B 02,0xAA,True
slave,10.53561525,31,AA C4 00 00 00 00 05 00 02 30 0E 00 00 00 00 00 84 80 58 BC D6 32 98 00 00 00 00 00 00 00 3F,0xAA,True
bidirectionalExtensionBoard,10.62290875,44,55 BC 28 AC 00 00 00 00 00 03 03 C0 01 88 66 7F 7F 00 00 80 00 00 60 3C 0C 00 40 00 00 00 00 00 00 00 01 00 00 00 00 00 00 10 00 EF,0x55,True
master,10.81565375,15,AA C0 00 00 00 00 00 00 00 00 00 00 00 3F 01,0xAA,True
slave,10.8357535,31,AA C0 00 00 00 00 10 30 84 80 58 56 83 00 2E 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 7F,0xAA,True
bidirectionalExtensionBoard,10.87508525,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 00 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 85 D5 2A 00 81,0xAA,True
bidirectionalExtensionBoard,11.07302775,44,55 BC 28 AC 00 00 00 00 00 03 03 C0 01 88 66 7F 7F 00 00 80 00 00 60 3C 0C 00 40 00 00 00 00 00 00 00 01 00 00 00 00 00 00 10 00 EF,0x55,True
master,11.1159305,31,AA D0 20 01 00 84 80 58 00 00 00 00 00 00 00 06 17 00 61 29 00 00 00 00 00 00 00 00 00 80 8C,0xAA,True
master,11.41569675,15,AA C0 06 00 00 00 00 00 00 00 00 00 00 3F FB,0xAA,True
master,11.71587975,31,AA D0 20 01 00 84 80 58 00 00 00 00 00 00 00 06 17 00 61 29 00 00 00 00 00 00 00 00 00 80 8C,0xAA,True
