Time [s],MideaIR
116.166279750,1
116.166846000,0
116.167354375,1
116.168996250,0
116.169504750,1
116.170071625,0
116.170579750,1
116.172221500,0
116.172729375,1
116.173296625,0
116.173804250,1
116.174371625,0
116.174879125,1
116.175446750,0
116.175954000,1
116.177597125,0
116.178104000,1
116.179747375,0
116.180253750,1
116.180822500,0
116.181329000,1
116.182973125,0
116.183478875,1
116.185123125,0
116.185629125,1
116.187273500,0
116.187779125,1
116.189423625,0
116.189929000,1
116.190498625,0
116.191004000,1
116.192649000,0
116.193154250,1
116.194799750,0
116.195304250,1
116.196949500,0
116.197454250,1
116.198024500,0
116.198529000,1
116.199099750,0
116.199604000,1
116.200175000,0
116.200679125,1
116.201249750,0
116.201754250,1
116.203400125,0
116.203904375,1
116.204475125,0
116.204979500,1
116.205550500,0
116.206054875,1
116.206625625,0
116.207129875,1
116.207700250,0
116.208204625,1
116.208775375,0
116.209279875,1
116.209850500,0
116.210354875,1
116.210925500,0
116.211430000,1
116.212000750,0
116.212505000,1
116.214151000,0
116.214655250,1
116.215225875,0
116.215730125,1
116.216300875,0
116.216805250,1
116.218451500,0
116.218955625,1
116.220601375,0
116.221105500,1
116.222751375,0
116.223255500,1
116.224901500,0
116.225405625,1
116.227051500,0
116.227555875,1
116.228126750,0
116.228630750,1
116.230277250,0
116.230781250,1
116.232427125,0
116.232931125,1
118.231889250,0
118.236283375,1
118.240671750,0
118.241209125,1
118.242820375,0
118.243382750,1
118.243897125,0
118.244458625,1
118.246046000,0
118.246609000,1
118.248198625,0
118.248759125,1
118.250346625,0
118.250908750,1
118.251420875,0
118.251959750,1
118.252498750,0
118.253035250,1
118.254647375,0
118.255185000,1
118.255723500,0
118.256284750,1
118.257873125,0
118.258435125,1
118.258949375,0
118.259510250,1
118.260021750,0
118.260585250,1
118.261098875,0
118.261660500,1
118.263247125,0
118.263810000,1
118.265398875,0
118.265960625,1
118.266472750,0
118.267035500,1
118.268623250,0
118.269185875,1
118.270775000,0
118.271336000,1
118.272925125,0
118.273486125,1
118.275074125,0
118.275636500,1
118.276149500,0
118.276711625,1
118.278299000,0
118.278861625,1
118.280449500,0
118.281012000,1
118.282599625,0
118.283162125,1
118.283673500,0
118.284237250,1
118.284749500,0
118.285312375,1
118.285824375,0
118.286386750,1
118.286900125,0
118.287461875,1
118.289050375,0
118.289611375,1
118.290125500,0
118.290662000,1
118.291199750,0
118.291737000,1
118.292275000,0
118.292812000,1
118.293350250,0
118.293886875,1
118.294425375,0
118.294962125,1
118.295500500,0
118.296037000,1
118.296576125,0
118.297111500,1
118.297650500,0
118.298186875,1
118.298725375,0
118.299261750,1
118.300875750,0
118.301435875,1
118.303026000,0
118.303586000,1
118.305176000,0
118.305736125,1
118.307326375,0
118.307886250,1
118.309476625,0
118.310035250,1
118.311626875,0
118.312185875,1
118.313776750,0
118.314335375,1
118.315928000,0
118.316461500,1
118.317002125,0
118.317536500,1
118.318078000,0
118.318611250,1
118.323820250,0
118.328211375,1
118.332627125,0
118.333136250,1
118.334776750,0
118.335286500,1
118.335851750,0
118.336361250,1
118.338002000,0
118.338511250,1
118.340152125,0
118.340661125,1
118.342302750,0
118.342811250,1
118.343377375,0
118.343886000,1
118.344452375,0
118.344960875,1
118.346602750,0
118.347110875,1
118.347677750,0
118.348185750,1
118.349827875,0
118.350335750,1
118.350903000,0
118.351410750,1
118.351978000,0
118.352485500,1
118.353053375,0
118.353560625,1
118.355203625,0
118.355710500,1
118.357353750,0
118.357860500,1
118.358428750,0
118.358935250,1
118.360579125,0
118.361085250,1
118.362729500,0
118.363235250,1
118.364879625,0
118.365385500,1
118.367030125,0
118.367535125,1
118.368104875,0
118.368610000,1
118.370255250,0
118.370760375,1
118.372405625,0
118.372910375,1
118.374555625,0
118.375060250,1
118.375630875,0
118.376135500,1
118.376706125,0
118.377210875,1
118.377781500,0
118.378285750,1
118.378856500,0
118.379360625,1
118.381006625,0
118.381510875,1
118.382081500,0
118.382585875,1
118.383156750,0
118.383660875,1
118.384231625,0
118.384736000,1
118.385306875,0
118.385811250,1
118.386382000,0
118.386886250,1
118.387457125,0
118.387961375,1
118.388532000,0
118.389036625,1
118.389607500,0
118.390111625,1
118.390682500,0
118.391186625,1
118.392832750,0
118.393336875,1
118.394982875,0
118.395487000,1
118.397133000,0
118.397637250,1
118.399283000,0
118.399787500,1
118.401433625,0
118.401937750,1
118.403583625,0
118.404087875,1
118.405733875,0
118.406238000,1
118.407883875,0
118.408388000,1
118.408958875,0
118.409463250,1
118.410034000,0
118.410538125,1
120.349645250,0
120.354041000,1
120.358429125,0
120.358990500,1
120.360580125,0
120.361141125,1
120.361653375,0
120.362215875,1
120.363804375,0
120.364366250,1
120.365953875,0
120.366516375,1
120.368104000,0
120.368666000,1
120.369179125,0
120.369717000,1
120.370253750,0
120.370816750,1
120.372404250,0
120.372966875,1
120.373505750,0
120.374041625,1
120.375630000,0
120.376192375,1
120.376704875,0
120.377267125,1
120.377779875,0
120.378342000,1
120.378854875,0
120.379417125,1
120.381005750,0
120.381567500,1
120.383155625,0
120.383718250,1
120.384229625,0
120.384792875,1
120.386381125,0
120.386943000,1
120.388530875,0
120.389093125,1
120.390681125,0
120.391243125,1
120.392830375,0
120.393393750,1
120.393907500,0
120.394468875,1
120.396055625,0
120.396618375,1
120.398206000,0
120.398768625,1
120.400356500,0
120.400919000,1
120.401432375,0
120.401994000,1
120.402506875,0
120.403068625,1
120.403581500,0
120.404143375,1
120.404656375,0
120.405218000,1
120.406806625,0
120.407343500,1
120.407881250,0
120.408418375,1
120.408957125,0
120.409493625,1
120.410031750,0
120.410568375,1
120.411107125,0
120.411643500,1
120.412182375,0
120.412718375,1
120.413257125,0
120.413793125,1
120.414331500,0
120.414868125,1
120.415407000,0
120.415943000,1
120.416481750,0
120.417041875,1
120.418632750,0
120.419192250,1
120.419707000,0
120.420267000,1
120.421857875,0
120.422416375,1
120.424007750,0
120.424566500,1
120.426158000,0
120.426716625,1
120.428308375,0
120.428866500,1
120.430458250,0
120.430992500,1
120.432608500,0
120.433142250,1
120.433683375,0
120.434217500,1
120.435833875,0
120.436367250,1
120.441577250,0
120.445967500,1
120.450383500,0
120.450892500,1
120.452533000,0
